,bldg_id,filename,in.geometry_floor_area,in.sqft,in.geometry_stories,in.geometry_wall_type,in.geometry_wall_exterior_finish,in.geometry_foundation_type,in.geometry_attic_type,in.door_area,in.doors,in.window_areas,in.windows,in.eaves,in.orientation,in.insulation_ceiling,in.insulation_wall,in.insulation_floor,in.insulation_foundation_wall,in.insulation_rim_joist,in.insulation_roof,in.insulation_slab,in.hvac_heating_type_and_fuel,in.hvac_heating_efficiency,in.hvac_cooling_type,in.hvac_cooling_efficiency,in.hvac_has_ducts,in.hvac_secondary_heating_type_and_fuel,in.heating_setpoint,in.cooling_setpoint,in.heating_setpoint_offset_period,in.cooling_setpoint_offset_period,in.heating_setpoint_has_offset,in.cooling_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.cooling_setpoint_offset_magnitude,in.infiltration,in.mechanical_ventilation,in.natural_ventilation,in.bathroom_spot_vent_hour,in.range_spot_vent_hour,in.occupants,in.ceiling_fan,in.lighting_interior_use,in.cooking_range,in.clothes_dryer,in.clothes_washer,in.ashrae_iecc_climate_zone_2004,in.city,in.state,in.weather_file_city,in.weather_file_latitude,in.weather_file_longitude,year,resistance[K W-1],capacitance[J K-1]
0,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1918,0.0004943062957544877,337579472.7494292
1,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1919,0.0005990339129790974,253011038.46896026
2,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1949,0.0004517636297995402,268359044.13139078
3,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1958,0.00044522760048020405,307090257.75258785
4,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1969,0.00042729307966163084,459708795.255663
5,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1979,0.0009091787122699087,228446873.34953016
6,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1984,0.0009009553398861793,190364368.11335513
7,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1995,0.0016704171063251529,286444754.0964368
8,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,2002,0.002251942038307465,290338205.0341845
9,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,2009,0.002251942038307465,290338205.0341845
10,24083,G2700270_very_cold.csv,2500-2999,2663.0,2,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,Northeast,R-38,"Wood Stud, R-19",Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,Electricity Baseboard,"Electric Baseboard, 100% Efficiency",,,No,,70F,72F,Night -3h,,Yes,No,6F,0F,4 ACH50,,"Cooling Season, 7 days/wk",Hour22,Hour19,3,Standard Efficiency,100% Usage,"Electric, 100% Usage","Electric, 100% Usage","EnergyStar, 100% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,2016,0.0,0.0
11,117861,G2700270_very_cold.csv,2000-2499,2176.0,1,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,West,R-38,"Wood Stud, R-19",Uninsulated,"Wall R-5, Exterior","R-5, Exterior","Unfinished, Uninsulated",,Propane Fuel Furnace,"Fuel Furnace, 92.5% AFUE",Central AC,"AC, SEER 13",Yes,,68F,72F,Day and Night -3h,Day Setup and Night Setback +3h,Yes,Yes,6F,2F,8 ACH50,,"Cooling Season, 7 days/wk",Hour17,Hour19,2,Standard Efficiency,100% Usage,"Electric, 120% Usage","Electric, 120% Usage","EnergyStar, 120% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1918,0.0008023034829663119,194584596.29176173
12,117861,G2700270_very_cold.csv,2000-2499,2176.0,1,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,West,R-38,"Wood Stud, R-19",Uninsulated,"Wall R-5, Exterior","R-5, Exterior","Unfinished, Uninsulated",,Propane Fuel Furnace,"Fuel Furnace, 92.5% AFUE",Central AC,"AC, SEER 13",Yes,,68F,72F,Day and Night -3h,Day Setup and Night Setback +3h,Yes,Yes,6F,2F,8 ACH50,,"Cooling Season, 7 days/wk",Hour17,Hour19,2,Standard Efficiency,100% Usage,"Electric, 120% Usage","Electric, 120% Usage","EnergyStar, 120% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1919,0.0010444859329936304,125481737.48804392
13,117861,G2700270_very_cold.csv,2000-2499,2176.0,1,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,West,R-38,"Wood Stud, R-19",Uninsulated,"Wall R-5, Exterior","R-5, Exterior","Unfinished, Uninsulated",,Propane Fuel Furnace,"Fuel Furnace, 92.5% AFUE",Central AC,"AC, SEER 13",Yes,,68F,72F,Day and Night -3h,Day Setup and Night Setback +3h,Yes,Yes,6F,2F,8 ACH50,,"Cooling Season, 7 days/wk",Hour17,Hour19,2,Standard Efficiency,100% Usage,"Electric, 120% Usage","Electric, 120% Usage","EnergyStar, 120% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1949,0.0008197900416715212,141911949.8585105
14,117861,G2700270_very_cold.csv,2000-2499,2176.0,1,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,West,R-38,"Wood Stud, R-19",Uninsulated,"Wall R-5, Exterior","R-5, Exterior","Unfinished, Uninsulated",,Propane Fuel Furnace,"Fuel Furnace, 92.5% AFUE",Central AC,"AC, SEER 13",Yes,,68F,72F,Day and Night -3h,Day Setup and Night Setback +3h,Yes,Yes,6F,2F,8 ACH50,,"Cooling Season, 7 days/wk",Hour17,Hour19,2,Standard Efficiency,100% Usage,"Electric, 120% Usage","Electric, 120% Usage","EnergyStar, 120% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1958,0.0008023253262777745,173560136.429943
15,117861,G2700270_very_cold.csv,2000-2499,2176.0,1,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,West,R-38,"Wood Stud, R-19",Uninsulated,"Wall R-5, Exterior","R-5, Exterior","Unfinished, Uninsulated",,Propane Fuel Furnace,"Fuel Furnace, 92.5% AFUE",Central AC,"AC, SEER 13",Yes,,68F,72F,Day and Night -3h,Day Setup and Night Setback +3h,Yes,Yes,6F,2F,8 ACH50,,"Cooling Season, 7 days/wk",Hour17,Hour19,2,Standard Efficiency,100% Usage,"Electric, 120% Usage","Electric, 120% Usage","EnergyStar, 120% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1969,0.0012646707699625313,256966647.85022482
16,117861,G2700270_very_cold.csv,2000-2499,2176.0,1,Wood Frame,"Vinyl, Light",Heated Basement,Vented Attic,20 ft^2,Fiberglass,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",2 ft,West,R-38,"Wood Stud, R-19",Uninsulated,"Wall R-5, Exterior","R-5, Exterior","Unfinished, Uninsulated",,Propane Fuel Furnace,"Fuel Furnace, 92.5% AFUE",Central AC,"AC, SEER 13",Yes,,68F,72F,Day and Night -3h,Day Setup and Night Setback +3h,Yes,Yes,6F,2F,8 ACH50,,"Cooling Season, 7 days/wk",Hour17,Hour19,2,Standard Efficiency,100% Usage,"Electric, 120% Usage","Electric, 120% Usage","EnergyStar, 120% Usage",7A,Not in a census Place,MN,Fargo Hector Field,46.93,-96.81,1979,0.0015130485779210163,97058168.12493996
