id,year,climate_zone,state,inhabitants,resistance[K W-1],capacitance[J K-1],area[m2],stories,method,filename,heating_demand_simulated[kWh],heating_demand_real[kWh],cooling_demand_simulated[kWh],cooling_demand_real[kWh],heating_demand_simulated[kWh]/area[m2],heating_demand_real[kWh]/area[m2],cooling_demand_simulated[kWh]/area[m2],cooling_demand_real[kWh]/area[m2],heating_demand_error,cooling_demand_error,heating_demand_rel_error,cooling_demand_rel_error,fit_score
10939,1918,cold,WI,2,0.0010330250762927,151124985.171451,157.00613760000002,1,geoma,G5500950_cold.csv,68370.0,35048.1,4450.3,349.1,435.5,223.2,28.3,2.2,33321.9,4101.2,0.95,11.75,6.35
130744,1918,marine,OR,4,0.0008023034829663,194584596.29176173,202.15701504,1,geoma,G4100070_marine.csv,28975.1,14027.2,6864.8,199.2,143.3,69.4,34.0,1.0,14947.9,6665.6,1.07,33.46,17.265
140101,2009,hot dry,TX,3,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G4802650_hot_dry.csv,49.4,294.7,10540.1,1781.9,0.4,2.6,93.0,15.7,245.3,8758.2,0.83,4.92,2.875
141086,2009,hot dry,TX,1,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,G4802650_hot_dry.csv,909.4,10098.6,46194.4,2238.7,3.0,32.9,150.6,7.3,9189.2,43955.7,0.91,19.63,10.27
153117,2002,mixed dry,NM,4,0.0007318674210413,893365096.5265144,761.2475097600001,2,geoma,G3500090_mixed_dry.csv,28135.5,18757.1,103350.9,2582.0,37.0,24.6,135.8,3.4,9378.4,100768.9,0.5,39.03,19.765
178508,2009,very cold,MN,2,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G2700270_very_cold.csv,9942.1,17286.7,17634.1,725.3,63.3,110.1,112.3,4.6,7344.6,16908.8,0.42,23.31,11.865
178956,1919,very cold,MN,1,0.0013448528936059,97455945.01599,157.00613760000002,1,geoma,G2700270_very_cold.csv,40664.9,36854.1,3591.4,528.9,259.0,234.7,22.9,3.4,3810.8,3062.5,0.1,5.79,2.945
179265,1919,mixed dry,NM,2,0.0010444859329936,125481737.48804392,202.15701504,1,geoma,G3500090_mixed_dry.csv,14465.5,12322.5,13537.6,2142.7,71.6,61.0,67.0,10.6,2143.0,11394.9,0.17,5.32,2.745
183413,2002,hot dry,TX,3,0.0103797747134155,57997749.72255892,82.2191904,1,geoma,G4802650_hot_dry.csv,56.4,594.5,7217.9,1363.0,0.7,7.2,87.8,16.6,538.1,5854.9,0.91,4.3,2.605
204337,2002,hot dry,TX,2,0.0049155095475514,133012621.15723062,113.3417088,2,geoma,G4802650_hot_dry.csv,33.3,615.2,10175.3,1914.7,0.3,5.4,89.8,16.9,581.9,8260.6,0.95,4.31,2.63
206034,2009,hot dry,TX,4,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G4802650_hot_dry.csv,304.5,1196.5,27640.1,2390.4,1.9,7.6,176.0,15.2,892.0,25249.7,0.75,10.56,5.655
210631,2009,hot dry,TX,3,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G4802650_hot_dry.csv,380.5,2167.5,12794.5,1949.9,3.4,19.1,112.9,17.2,1787.0,10844.6,0.82,5.56,3.19
212698,2002,hot dry,TX,2,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,G4802650_hot_dry.csv,962.5,2838.8,20887.3,2976.1,3.1,9.3,68.1,9.7,1876.3,17911.2,0.66,6.02,3.34
223249,2009,very cold,MN,2,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G2700270_very_cold.csv,7454.4,12069.6,12178.2,604.8,65.8,106.5,107.4,5.3,4615.2,11573.4,0.38,19.14,9.76
22472,2009,hot dry,TX,1,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G4802650_hot_dry.csv,191.7,870.8,11458.2,2178.2,1.7,7.7,101.1,19.2,679.1,9280.0,0.78,4.26,2.52
229684,1918,very cold,MN,4,0.0006555810660663,238133630.48022124,247.40079552,1,geoma,G2700270_very_cold.csv,140237.1,90261.4,6751.6,867.9,566.8,364.8,27.3,3.5,49975.7,5883.7,0.55,6.78,3.665
24083,2002,very cold,MN,3,0.0022519420383074,290338205.0341845,247.40079552,2,geoma,G2700270_very_cold.csv,38604.1,23404.5,23521.6,584.0,156.0,94.6,95.1,2.4,15199.6,22937.6,0.65,39.28,19.965
263573,2002,mixed dry,NM,1,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G3500090_mixed_dry.csv,1178.8,6697.9,23670.8,615.6,7.5,42.7,150.8,3.9,5519.1,23055.2,0.82,37.45,19.135
275239,1918,mixed dry,NM,3,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G3500090_mixed_dry.csv,16167.3,15213.1,7208.8,934.1,142.6,134.2,63.6,8.2,954.2,6274.7,0.06,6.72,3.3899999999999997
275339,2009,hot dry,TX,4,0.0022519420383074,290338205.0341845,247.40079552,2,geoma,G4802650_hot_dry.csv,2362.9,3004.8,48756.1,4612.5,9.6,12.1,197.1,18.6,641.9,44143.6,0.21,9.57,4.890000000000001
288215,1918,marine,OR,1,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G4100070_marine.csv,12304.2,4972.7,2187.4,301.4,108.6,43.9,19.3,2.7,7331.5,1886.0,1.47,6.26,3.8649999999999998
302452,2002,marine,OR,2,0.0024700878363534,268788785.50693774,202.15701504,3,geoma,G4100070_marine.csv,8762.8,5528.4,10253.7,165.2,43.3,27.3,50.7,0.8,3234.4,10088.5,0.59,61.07,30.830000000000002
306536,2009,hot dry,TX,1,0.0042215535943808,142602376.71896973,202.15701504,1,geoma,G4802650_hot_dry.csv,970.1,2930.2,11361.3,1643.8,4.8,14.5,56.2,8.1,1960.1,9717.5,0.67,5.91,3.29
312829,2009,hot dry,TX,2,0.0042215535943808,142602376.71896973,202.15701504,1,geoma,G4802650_hot_dry.csv,84.5,590.7,41573.2,2553.3,0.4,2.9,205.6,12.6,506.2,39019.9,0.86,15.28,8.07
317237,2009,hot dry,TX,4,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G4802650_hot_dry.csv,1692.1,2160.4,26846.9,2142.0,10.8,13.8,171.0,13.6,468.3,24704.9,0.22,11.53,5.875
321391,1918,mixed dry,NM,2,0.0010330250762927,151124985.171451,157.00613760000002,1,geoma,G3500090_mixed_dry.csv,11624.4,5479.3,10155.9,705.7,74.0,34.9,64.7,4.5,6145.1,9450.2,1.12,13.39,7.255000000000001
332001,1949,marine,OR,2,0.0007118618616308,170306715.9527039,157.00613760000002,2,geoma,G4100070_marine.csv,28386.8,5030.5,431.4,8.2,180.8,32.0,2.7,0.1,23356.3,423.2,4.64,51.61,28.125
343494,2002,mixed dry,NM,5,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G3500090_mixed_dry.csv,2186.7,15987.9,21123.3,1015.7,13.9,101.8,134.5,6.5,13801.2,20107.6,0.86,19.8,10.33
349621,2009,mixed dry,NM,2,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G3500090_mixed_dry.csv,23.7,1698.3,20228.6,1496.8,0.2,15.0,178.5,13.2,1674.6,18731.8,0.99,12.51,6.75
363481,2009,hot dry,TX,2,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,G4802650_hot_dry.csv,524.0,907.8,22369.7,5285.9,1.7,3.0,72.9,17.2,383.8,17083.8,0.42,3.23,1.825
382272,2002,mixed dry,NM,2,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,G3500090_mixed_dry.csv,7693.4,23003.9,36193.8,1189.8,25.1,75.0,118.0,3.9,15310.5,35004.0,0.67,29.42,15.045000000000002
389898,2009,mixed dry,NM,2,0.0042215535943808,142602376.71896973,202.15701504,1,geoma,G3500090_mixed_dry.csv,839.6,6436.6,31470.4,1874.7,4.2,31.8,155.7,9.3,5597.0,29595.7,0.87,15.79,8.33
